Product name,Price,Rating,No. of ratings,No. of reviews,Product id,Seller details,Product URL
"Aspen Transit Black WAIST POUCH, WAIST BAG, FANNY BAG",Rs.  339,4.5,47,3,SDL021080232,khannaexporters,https://www.snapdeal.com/product/aspen-transit-black-waist-pouch/666867785910
Aspen Leather Black TRAVEL KIT BAG/ WAIST BAG/FANNY BAG,Rs.  299,4.2,31,2,SDL504938279,khannaexporters,https://www.snapdeal.com/product/aspen-leather-black-travel-kit/684667950854
Aspen Leather Black Waist Bag for Travelling,Rs.  449,4.3,36,1,SDL039451405,khannaexporters,https://www.snapdeal.com/product/aspen-leather-black-waist-bag/660473953179
"Aspen Transit Black SMALL WAIST BAG, FANNY BAG",Rs.  239,4.3,65,3,SDL824473145,khannaexporters,https://www.snapdeal.com/product/aspen-transit-black-small-waist/632617669012
Heart Choice Black Waist Bags,Rs.  419,4.0,3,N/A,SDL271034556,adil bags & co,https://www.snapdeal.com/product/heart-choice-black-waist-bags/624051634860
"Aspen Leather Green Waist Bag, Fanny Bag, Travel Bag",Rs.  369,4.6,15,1,SDL327286428,khannaexporters,https://www.snapdeal.com/product/aspen-leather-green-waist-bag/677812117205
"Aspen Transit Black WAIST BAG, FANNY BAG, TRAVEL KIT",Rs.  279,4.4,58,3,SDL926080808,khannaexporters,https://www.snapdeal.com/product/aspen-transit-black-waist-bag/639369968519
Style 98 Black 1 Waist Bag,Rs.  469,4.1,16,N/A,SDL191836451,kan & style 98,https://www.snapdeal.com/product/style-98-black-1-waist/624134667975
"Aspen Transit Red WAIST POUCH, WAIST BAG, FANNY BAG",Rs.  299,4.6,30,N/A,SDL442670264,khannaexporters,https://www.snapdeal.com/product/aspen-transit-red-waist-pouch/676967176791
"Aspen Transit Brown WAIST BAG, TRAVEL KIT ,TRAVEL POUCH, FANNY BAG",Rs.  299,4.3,109,3,SDL247436590,khannaexporters,https://www.snapdeal.com/product/aspen-transit-brown-waist-bag/633256077736
Style 98 Black Waist Bag,Rs.  699,4.1,17,N/A,SDL829338925,kan & style 98,https://www.snapdeal.com/product/style-98-black-waist-bag/656849382853
"Aspen Transit Black WAIST POUCH, WAIST BAG, FANNY BAG",Rs.  339,4.4,21,N/A,SDL777470010,khannaexporters,https://www.snapdeal.com/product/aspen-transit-black-waist-pouch/683306213160
Aspen Leather Black Waist Bag,Rs.  519,4.1,59,2,SDL427204624,khannaexporters,https://www.snapdeal.com/product/aspen-leather-black-waist-bag/620010514430
"Aspen Transit Tan WAIST BAG, FANNY BAG, TRAVEL KIT, TRAVEL POUCH",Rs.  279,3.9,50,2,SDL179300356,khannaexporters,https://www.snapdeal.com/product/aspen-transit-tan-waist-pouch/656662740671
Aspen Leather Blue Waist Bag for Travelling,Rs.  469,4.1,12,N/A,SDL098242302,khannaexporters,https://www.snapdeal.com/product/aspen-leather-blue-waist-bag/679413594835
Aspen Leather Black Waist Bag,Rs.  659,4.1,7,N/A,SDL192239375,khannaexporters,https://www.snapdeal.com/product/aspen-leather-black-waist-bag/682547962155
"Aspen Leather Black WAIST BAG,FANNY BAG",Rs.  669,5.0,2,N/A,SDL881949008,khannaexporters,https://www.snapdeal.com/product/aspen-leather-black-waist-bagfanny/653327572464
Aspen Leather Black Waist Bag for Travelling,Rs.  299,3.6,61,1,SDL112017916,khannaexporters,https://www.snapdeal.com/product/aspen-leather-black-waist-bag/674928666286
Goodwin Black Leather Office Bag Cross Bag Leather Bag Men Man Side Bag Gents Bag Men Side Bag One Side Bag Men Carry Bag Men,"Rs.  1,399",3.4,94,2,SDL703359398,orchid international,https://www.snapdeal.com/product/goodwin-black-leather-office-bag/619532289831
Goodwin Black PU Leather Office Laptop Bag With String 15 Inch/Side Bag Cross Bag Men Man Side Bag Gents Bag Men Side Bag One Side Bag Men Carry Bag Men,"Rs.  1,836",4.1,187,7,SDL337453660,orchid international,https://www.snapdeal.com/product/goodwin-black-leather-office-bag/672109031169
Venue Brown P.U Leather Office Laptop Bag With String 15 Inch/Side Bag Cross Bag Men Man Side Bag Gents Bag Men Side Bag One Side Bag Men Carry Bag Men,Rs.  649,3.8,29,1,SDL339877583,apnav enterprises,https://www.snapdeal.com/product/venue-brown-pu-office-bag/677363799104
Goodwin Brown P.U Leather Office Laptop Bag With String 15 Inch/Side Bag Cross Bag Men Man Side Bag Gents Bag Men Side Bag One Side Bag Men Carry Bag Men,"Rs.  1,836",4.0,328,13,SDL927366720,orchid international,https://www.snapdeal.com/product/goodwin-brown-leather-office-bag/667976643913
Lois Caron 30 Ltrs Blue Laptop Bags,Rs.  675,4.7,3,N/A,SDL811865421,lois caron,https://www.snapdeal.com/product/lois-caron-30-ltrs-blue/646970975399
Abgrow - Black P.U Office Bag,Rs.  549,4.0,1789,72,SDL166857064,a&b enterprises,https://www.snapdeal.com/product/abgrow-black-leather-office-bag/686864587670
Gizga Light Grey Laptop Sleeves,Rs.  249,4.1,53,2,SDL790640632,demeter consumer india private limited,https://www.snapdeal.com/product/gizga-grey-laptop-sleeves/618772912399
Apnav - Black P.U Briefcase,Rs.  539,4.0,25,N/A,SDL643917809,apnav enterprises,https://www.snapdeal.com/product/apnav-black-fle-slvr-tar/659137686984
OMRON BAGS 40 Ltrs Orange Laptop Bags,Rs.  625,3.9,9,2,SDL047083480,omron bags,https://www.snapdeal.com/product/omron-bags-40-ltrs-blue/630375855346
Apnav Black Laptop Sleeves,Rs.  549,N/A,N/A,N/A,SDL541465502,apnav enterprises,https://www.snapdeal.com/product/apnav-black-laptop-sleeves/642997695486
Style Smith 41 Ltrs Grey Laptop Bags,Rs.  649,4.2,5,N/A,SDL798153192,juscorp enterprises private limited,https://www.snapdeal.com/product/style-smith-41-ltrs-grey/654076334840
SATURN - Tan P.U Office Bag,Rs.  649,4.3,14,N/A,SDL905945875,apnav enterprises,https://www.snapdeal.com/product/saturn-tan-pu-office-bag/623982563419
Daniel Clarion 35 Ltrs Blue Laptop Bags,Rs.  999,4.2,5,N/A,SDL747515071,g.s.traders,https://www.snapdeal.com/product/daniel-clarion-35-ltrs-blue/620392051666
Gizga Blue Laptop Sleeves,Rs.  279,4.0,1,N/A,SDL689557998,demeter consumer india private limited,https://www.snapdeal.com/product/gizga-blue-laptop-sleeves/659575735371
SALLOW - Black Leather Briefcase,Rs.  489,3.9,206,2,SDL093311534,apnav enterprises,https://www.snapdeal.com/product/sallow-black-pu-office-bag/624710717444
Leather World - Tan P.U Office Bag,"Rs.  1,149",4.2,240,8,SDL098372178,leather world,https://www.snapdeal.com/product/leather-world-professional-tan-pu/660147619024
Style Smith 41 Ltrs Black Laptop Bags,Rs.  649,4.4,5,N/A,SDL801442399,juscorp enterprises private limited,https://www.snapdeal.com/product/style-smith-41-ltrs-black/680398849409
AQUADOR - Black P.U Office Bag,"Rs.  1,249",4.4,139,8,SDL770560945,m/s v j m exports,https://www.snapdeal.com/product/aquador-1447-black-pu-office/633521393821
SW Super World - Brown Synthetic Office Bag,Rs.  599,4.2,607,18,SDL015607884,m j bags,https://www.snapdeal.com/product/sw-super-world-stylish-laptop/682538787907
Lois Caron 30 Ltrs Black Laptop Bags,Rs.  775,5.0,1,N/A,SDL750957820,lois caron,https://www.snapdeal.com/product/lois-caron-30-ltrs-black/678071427908
RAGE GAZE Blue Nylon Casual Messenger Bag,Rs.  369,4.0,3,N/A,SDL665369670,fashionphile,https://www.snapdeal.com/product/rage-gaze-blue-nylon-casual/650167168208
SW Super World Stylish Brown Synthetic Office Messenger Bag,Rs.  675,3.6,7,N/A,SDL963477313,m j bags,https://www.snapdeal.com/product/sw-super-world-stylish-brown/620434551864
SW Super World Messenger Bag Black P.U. Casual Messenger Bag,Rs.  775,4.6,5,N/A,SDL740903725,m j bags,https://www.snapdeal.com/product/sw-super-world-messenger-bag/671450921640
Goodwin Tan Leather Office Messenger Bag/Side Bag,"Rs.  1,499",3.9,102,6,SDL314010460,orchid international,https://www.snapdeal.com/product/goodwin-tan-leather-office-messenger/643954632161
